VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,5027766,0.722193,-99.9,20.88,120.78,11.1253,25.13,55935200
2,1515456,0.217682,-99.9,20.88,120.78,14.5168,14.5743,21999600
3,1099428,0.157923,-99.9,20.88,120.78,14.6624,11.3987,16120200
4,867898,0.124666,-99.9,20.83,120.73,14.6919,9.14129,12751100
5,754824,0.108424,-99.9,20.83,120.73,14.7871,7.29792,11161600
6,625933,0.0899096,-99.9,20.83,120.73,14.721,6.86786,9214380
7,566562,0.0813815,-99.9,20.83,120.73,14.6427,6.14328,8296020
8,512075,0.073555,-99.9,20.83,120.73,14.4739,6.07985,7411720
9,484100,0.0695366,-99.9,20.83,120.73,14.3246,5.7833,6934530
10,446139,0.0640839,-99.9,20.83,120.73,14.1436,5.21438,6309990
11,408357,0.0586568,-99.9,20.17,120.07,13.9647,4.87117,5702590
12,378535,0.0543731,-99.9,19.9,119.8,13.7717,5.12101,5213080
13,363432,0.0522037,-99.9,19.9,119.8,13.6511,4.75628,4961240
14,350015,0.0502765,-99.9,19.9,119.8,13.5002,4.01643,4725270
15,335540,0.0481973,-99.9,19.9,119.8,13.3319,3.09122,4473390
16,315714,0.0453495,-99.9,19.9,119.8,13.0735,2.73439,4127500
17,303084,0.0435353,-99.9,19.9,119.8,12.832,2.76071,3889160
18,292477,0.0420117,-99.9,19.9,119.8,12.5939,2.64954,3683430
19,282355,0.0405578,-99.9,19.28,119.18,12.3604,2.50488,3490030
20,275679,0.0395988,5.27,19.28,14.01,12.0948,2.37618,3334270
21,265910,0.0381956,4.87,18.24,13.37,11.8553,2.3982,3152440
22,257154,0.0369379,4.87,18.24,13.37,11.599,2.40044,2982740
23,250639,0.036002,4.87,17.97,13.1,11.3588,2.41307,2846970
24,247051,0.0354867,4.87,17.51,12.64,11.1176,2.41882,2746600
25,243735,0.0350103,4.2,17.51,13.31,10.8746,2.43133,2650530
26,240518,0.0345482,4.2,17.51,13.31,10.627,2.42704,2555990
27,235662,0.0338507,3.75,17.51,13.76,10.3884,2.41491,2448160
28,232926,0.0334577,3.75,17.51,13.76,10.1273,2.3768,2358920
29,227681,0.0327043,0.4,17.51,17.11,9.88568,2.36163,2250780
30,221572,0.0318268,0.4,16.7,16.3,9.64159,2.34657,2136310
31,216071,0.0310367,0.4,16.7,16.3,9.38894,2.31756,2028680
32,212406,0.0305102,0.4,16.7,16.3,9.15555,2.28597,1944690
33,209041,0.0300269,0.4,16.7,16.3,8.91496,2.25422,1863590
34,207640,0.0298256,0.4,16.7,16.3,8.6968,2.21833,1805800
35,206194,0.0296179,0.4,16.66,16.26,8.48652,2.19762,1749870
36,203436,0.0292218,0.4,16.66,16.26,8.26853,2.18533,1682120
37,200385,0.0287835,0.4,16.41,16.01,8.04822,2.18765,1612740
38,195839,0.0281305,-1.76,16.41,18.17,7.83969,2.16973,1535320
39,190498,0.0273633,-1.76,15.45,17.21,7.64522,2.13138,1456400
40,186889,0.0268449,-1.76,15.45,17.21,7.46886,2.11022,1395850
41,180535,0.0259322,-1.76,15.45,17.21,7.27983,2.09737,1314260
42,173032,0.0248545,-1.76,14.75,16.51,7.07606,2.07852,1224380
43,165879,0.023827,-1.76,14.75,16.51,6.89412,2.06887,1143590
44,159352,0.0228895,-1.76,13.98,15.74,6.69807,2.05415,1067350
45,152373,0.021887,-1.76,13.98,15.74,6.50686,2.04778,991469
46,144773,0.0207953,-1.76,12.62,14.38,6.31078,2.04812,913631
47,138076,0.0198334,-1.76,12.62,14.38,6.12376,2.07053,845544
48,130322,0.0187196,-1.76,12.62,14.38,5.92083,2.07112,771614
49,123826,0.0177865,-1.76,12.48,14.24,5.69579,2.08768,705286
50,118095,0.0169633,-1.76,12.16,13.92,5.49152,2.08381,648521
51,114796,0.0164894,-1.76,12.16,13.92,5.31108,2.07682,609690
52,111373,0.0159977,-1.76,12.16,13.92,5.16764,2.05404,575536
53,105587,0.0151666,-1.76,12.16,13.92,5.0394,2.03634,532095
54,99403,0.0142783,-1.76,12.16,13.92,4.8783,1.99457,484918
55,92018,0.0132176,-1.76,10.5,12.26,4.72021,1.97827,434344
56,84737,0.0121717,-1.76,10.5,12.26,4.55083,1.9625,385624
57,77854,0.011183,-1.76,10.5,12.26,4.40782,1.95592,343167
58,71855,0.0103213,-1.76,10.5,12.26,4.26398,1.93957,306388
59,64621,0.00928222,-1.76,10.5,12.26,4.11749,1.94211,266076
60,57162,0.00821081,-1.76,10.43,12.19,3.93663,1.90887,225026
61,49337,0.00708682,-1.76,10.43,12.19,3.75699,1.89696,185359
62,42776,0.00614439,-1.76,10.43,12.19,3.54611,1.81219,151688
63,35511,0.00510084,-1.76,10.09,11.85,3.35748,1.74525,119228
64,29543,0.00424359,-1.76,10.09,11.85,3.20424,1.75695,94662.9
65,23703,0.00340472,-1.76,10.09,11.85,3.04201,1.72722,72104.8
66,18772,0.00269643,-1.76,10.09,11.85,2.81335,1.68964,52812.3
67,15198,0.00218306,-1.76,8.11,9.87,2.61174,1.70329,39693.2
68,11537,0.00165719,-1.76,8.11,9.87,2.25454,1.66226,26010.7
69,8721,0.00125269,-1.76,5.72,7.48,1.91674,1.74984,16715.8
70,6603,0.000948462,-1.76,5.72,7.48,1.59881,1.70646,10557
71,4790,0.00068804,-1.76,5.72,7.48,1.20494,1.66014,5771.67
72,3532,0.00050734,-1.76,4.5,6.26,1.14289,1.4616,4036.7
73,2381,0.000342009,-1.76,4.5,6.26,1.17115,1.16143,2788.5
74,1653,0.000237439,-1.76,3.19,4.95,1.17515,1.08885,1942.53
75,1066,0.000153121,-1.76,3.15,4.91,1.28365,1.02903,1368.37
76,540,0.0000775661,0.02,3.15,3.13,1.45615,0.958048,786.32
77,236,0.0000338993,0.51,3.15,2.64,1.46449,0.99528,345.62
78,59,8.47482E-06,0.51,2.25,1.74,1.12932,0.833103,66.63
79,15,2.15462E-06,0.51,0.51,0,0.51,0,7.65
